epoch,n_box,n_dfl,s_box,s_dfl,m_box,m_dfl,l_box,l_dfl,x_box,x_dfl
1,1.7843,1.5608,1.9146,1.6432,1.7664,1.647,1.7325,1.7006,1.7461,1.7233
2,1.522,1.3805,1.5882,1.4701,1.5371,1.4913,1.4567,1.488,1.4848,1.519
3,1.4677,1.3323,1.4223,1.3411,1.3408,1.3422,1.2766,1.3444,1.2803,1.3595
4,1.3982,1.2902,1.343,1.2758,1.2112,1.2498,1.1352,1.2452,1.1269,1.2572
5,1.3289,1.2424,1.2307,1.2117,1.1386,1.1952,1.0672,1.1824,1.0568,1.1896
6,1.28,1.2071,1.1959,1.1787,1.1443,1.1843,1.0761,1.1815,1.0642,1.184
7,1.2683,1.2023,1.1785,1.166,1.0746,1.1457,1.0111,1.1577,1.0021,1.1501
8,1.2085,1.1683,1.1239,1.138,1.0386,1.1273,0.99555,1.1472,0.97639,1.1375
9,1.2202,1.1698,1.1266,1.1318,1.0329,1.1236,0.98916,1.14,0.97689,1.1345
10,1.2037,1.1579,1.0961,1.1165,1.0305,1.1223,0.97526,1.1254,0.95546,1.1182
11,1.1872,1.1449,1.0973,1.1095,1.005,1.11,0.94841,1.1044,0.93178,1.1061
12,1.1838,1.1436,1.0799,1.1022,0.97922,1.0945,0.92575,1.0898,0.91326,1.1006
13,1.1585,1.1342,1.0531,1.0883,0.9728,1.0814,0.92508,1.076,0.89935,1.0984
14,1.1599,1.1226,1.0511,1.0778,0.95886,1.0871,0.91906,1.0777,0.88762,1.0939
15,1.1487,1.1148,1.035,1.0748,0.95846,1.0773,0.90699,1.065,0.88424,1.0768
16,1.1312,1.1195,1.0309,1.0763,0.95525,1.0751,0.90901,1.0713,0.88236,1.067
17,1.1104,1.1043,0.99841,1.0672,0.93986,1.0742,0.88589,1.0794,0.85581,1.0579
18,1.1229,1.1031,1.0164,1.0704,0.93482,1.0571,0.8801,1.0593,0.84701,1.0462
19,1.1053,1.0974,0.99154,1.0602,0.91447,1.0443,0.8566,1.0429,0.83984,1.0486
20,1.123,1.1149,1.0025,1.0715,0.89667,1.033,0.83849,1.0295,0.81906,1.037
21,1.0999,1.1048,0.98167,1.0608,0.90062,1.042,0.84504,1.0372,0.81256,1.0408
22,1.1129,1.1016,0.99576,1.0649,0.90895,1.0453,0.84704,1.0423,0.82388,1.0463
23,1.0958,1.1036,0.97463,1.0617,0.87609,1.0321,0.82026,1.0344,0.78659,1.0284
24,1.1057,1.095,0.9807,1.0511,0.86446,1.0305,0.80837,1.0283,0.77681,1.0287
25,1.0755,1.0822,0.95843,1.0378,0.8722,1.0312,0.81605,1.0297,0.77785,1.0271
26,1.0714,1.0825,0.96166,1.0428,0.85627,1.0235,0.79427,1.0192,0.76024,1.0213
27,1.0908,1.0817,0.96051,1.0332,0.83461,1.0188,0.77705,1.0201,0.75605,1.0249
28,1.0709,1.0747,0.94182,1.0285,0.84223,1.0173,0.7894,1.0177,0.76364,1.021
29,1.0561,1.0763,0.93044,1.0306,0.8406,1.0121,0.77692,1.0146,0.74889,1.0085
30,1.0521,1.0773,0.92462,1.0301,0.85096,1.0127,0.7864,1.0168,0.75081,1.0078
31,1.0647,1.0739,0.9306,1.0267,0.84199,1.0053,0.76714,0.9922,0.74257,0.9883
32,1.0518,1.0691,0.91753,1.021,0.82674,1.0096,0.75924,0.99961,0.72878,0.99101
33,1.0432,1.0619,0.90884,1.0172,0.80698,0.9963,0.73377,0.98509,0.70774,0.97637
34,1.0418,1.0644,0.90957,1.0172,0.80996,0.99454,0.75064,0.99037,0.71133,0.97657
35,1.03,1.0641,0.88874,1.0137,0.80078,0.9914,0.72996,0.98027,0.70567,0.97628
36,1.0267,1.0565,0.88436,1.0086,0.80234,0.99269,0.74383,0.98786,0.70768,0.97833
37,1.0194,1.0518,0.87862,1.0031,0.80473,0.99113,0.73215,0.98004,0.69457,0.969
38,1.0242,1.0529,0.88639,1.004,0.79642,0.98985,0.72542,0.98223,0.6983,0.97316
39,1.0311,1.0605,0.89105,1.0085,0.78237,0.98749,0.70996,0.98245,0.68184,0.97526
40,1.0257,1.0615,0.88465,1.0056,0.79365,0.98524,0.71611,0.97269,0.68735,0.96956
41,1.0071,1.0525,0.85629,0.9984,0.78332,0.98603,0.71446,0.97384,0.6752,0.96227
42,1.0217,1.0459,0.87945,0.99496,0.75874,0.97378,0.68392,0.95584,0.65661,0.95113
43,1.0135,1.0405,0.87408,0.98959,0.74852,0.97122,0.6771,0.9596,0.64802,0.95148
44,0.98312,1.0372,0.85239,0.99064,0.7479,0.97456,0.68619,0.97142,0.64702,0.95312
45,1.007,1.0498,0.85979,0.99734,0.75396,0.97154,0.67833,0.96414,0.64795,0.9493
46,1.0077,1.0455,0.8646,0.99306,0.73307,0.96408,0.66729,0.9559,0.6364,0.94657
47,0.99483,1.029,0.85829,0.98298,0.74049,0.969,0.67019,0.95067,0.64102,0.94399
48,0.98081,1.0352,0.84511,0.98759,0.73754,0.97074,0.67231,0.95498,0.63889,0.94861
49,0.99368,1.0441,0.84393,0.99377,0.72639,0.96274,0.66175,0.94836,0.62726,0.94001
50,0.99724,1.0469,0.83644,0.98478,0.72727,0.9579,0.6562,0.94551,0.62304,0.93155
51,0.98561,1.0267,0.84087,0.97779,0.73291,0.95736,0.66505,0.94872,0.63358,0.93295
52,0.96881,1.0352,0.81308,0.97449,0.72095,0.95615,0.64643,0.94778,0.61348,0.93358
53,0.98751,1.0353,0.82713,0.97945,0.71618,0.94847,0.63904,0.93232,0.61472,0.93133
54,0.99688,1.0356,0.84304,0.97999,0.71514,0.94505,0.64456,0.94141,0.59949,0.92145
55,0.97093,1.0315,0.82347,0.98195,0.71833,0.95765,0.6396,0.94734,0.61108,0.93444
56,0.96529,1.0245,0.80724,0.97318,0.70296,0.95109,0.63341,0.93902,0.60295,0.92533
57,0.9677,1.025,0.81995,0.97319,0.69998,0.94849,0.62082,0.93532,0.59152,0.92496
58,0.97529,1.0313,0.82303,0.9739,0.69464,0.9477,0.62063,0.93264,0.59243,0.92612
59,0.973,1.0268,0.82625,0.97659,0.70652,0.94639,0.62275,0.92786,0.59531,0.92444
60,0.98578,1.0312,0.81574,0.96853,0.69934,0.95272,0.62583,0.93594,0.59022,0.92737
61,0.95028,1.0195,0.80188,0.96803,0.6889,0.93685,0.61238,0.92238,0.58129,0.91709
62,0.94783,1.0187,0.78709,0.961,0.68319,0.95015,0.61082,0.93163,0.58273,0.92558
63,0.94277,1.0154,0.78368,0.96093,0.68941,0.94113,0.61378,0.92694,0.58481,0.91515
64,0.94697,1.0138,0.7962,0.96259,0.67097,0.93091,0.60282,0.92354,0.57538,0.90715
65,0.96218,1.0219,0.81525,0.96945,0.66889,0.93067,0.60175,0.92242,0.57735,0.91136
66,0.94866,1.0192,0.78619,0.96407,0.65577,0.92997,0.59914,0.92552,0.56271,0.9127
67,0.94355,1.0209,0.79066,0.96761,0.67218,0.93407,0.60111,0.91789,0.57054,0.90926
68,0.94258,1.0241,0.77138,0.95841,0.66298,0.9315,0.5982,0.91999,0.56629,0.91188
69,0.93982,1.0217,0.78355,0.96556,0.65992,0.93353,0.59024,0.91772,0.54933,0.90718
70,0.92598,1.0081,0.77095,0.95132,0.67474,0.93494,0.59854,0.92232,0.56132,0.91134
71,0.91559,1.0071,0.75761,0.94712,0.65215,0.92785,0.58661,0.91519,0.54823,0.90281
72,0.92921,1.0126,0.76229,0.95509,0.66362,0.93257,0.59151,0.91817,0.56009,0.90431
73,0.91227,1.0064,0.75224,0.95,0.64976,0.93196,0.57478,0.91688,0.5438,0.90617
74,0.9275,1.0065,0.76679,0.95176,0.63929,0.91964,0.57149,0.91184,0.53745,0.90146
75,0.93249,1.0162,0.76065,0.95355,0.64249,0.92876,0.56856,0.91086,0.53761,0.90168
76,0.92189,1.0073,0.75555,0.94929,0.64597,0.92927,0.57911,0.91349,0.54293,0.90292
77,0.90678,0.99884,0.7441,0.94321,0.64399,0.92727,0.56771,0.90915,0.54471,0.90053
78,0.92794,1.0056,0.76914,0.95131,0.6375,0.9269,0.57386,0.91433,0.54116,0.89815
79,0.922,1.0009,0.76117,0.94599,0.63496,0.91957,0.56024,0.90385,0.53588,0.89433
80,0.91935,1.0036,0.7599,0.94548,0.62281,0.91545,0.55179,0.90223,0.51872,0.89038
81,0.92189,1.0057,0.74589,0.94423,0.62432,0.91738,0.55428,0.90933,0.52775,0.89354
82,0.92165,1.0046,0.75513,0.94975,0.62828,0.91351,0.55941,0.90416,0.52749,0.88731
83,0.89873,1.0045,0.72964,0.94131,0.62892,0.91514,0.55787,0.90807,0.53155,0.89666
84,0.89256,0.98522,0.72499,0.92874,0.63094,0.92413,0.56101,0.91334,0.52984,0.90018
85,0.89616,0.9978,0.74583,0.94071,0.62085,0.9131,0.54998,0.90809,0.52458,0.89576
86,0.89939,0.99145,0.72814,0.93406,0.60598,0.90903,0.53964,0.90937,0.5116,0.89354
87,0.90574,1.005,0.7496,0.95126,0.60395,0.90627,0.54033,0.91217,0.51146,0.89183
88,0.90278,0.99322,0.73214,0.93282,0.60983,0.91021,0.53998,0.90528,0.50405,0.88785
89,0.91294,1.0054,0.73419,0.94083,0.59846,0.90427,0.52281,0.89658,0.4959,0.88059
