epoch,n_box,n_dfl
1,1.7843,1.5608
2,1.522,1.3805
3,1.4677,1.3323
4,1.3982,1.2902
5,1.3289,1.2424
6,1.28,1.2071
7,1.2683,1.2023
8,1.2085,1.1683
9,1.2202,1.1698
10,1.2037,1.1579
11,1.1872,1.1449
12,1.1838,1.1436
13,1.1585,1.1342
14,1.1599,1.1226
15,1.1487,1.1148
16,1.1312,1.1195
17,1.1104,1.1043
18,1.1229,1.1031
19,1.1053,1.0974
20,1.123,1.1149
21,1.0999,1.1048
22,1.1129,1.1016
23,1.0958,1.1036
24,1.1057,1.095
25,1.0755,1.0822
26,1.0714,1.0825
27,1.0908,1.0817
28,1.0709,1.0747
29,1.0561,1.0763
30,1.0521,1.0773
31,1.0647,1.0739
32,1.0518,1.0691
33,1.0432,1.0619
34,1.0418,1.0644
35,1.03,1.0641
36,1.0267,1.0565
37,1.0194,1.0518
38,1.0242,1.0529
39,1.0311,1.0605
40,1.0257,1.0615
41,1.0071,1.0525
42,1.0217,1.0459
43,1.0135,1.0405
44,0.98312,1.0372
45,1.007,1.0498
46,1.0077,1.0455
47,0.99483,1.029
48,0.98081,1.0352
49,0.99368,1.0441
50,0.99724,1.0469
51,0.98561,1.0267
52,0.96881,1.0352
53,0.98751,1.0353
54,0.99688,1.0356
55,0.97093,1.0315
56,0.96529,1.0245
57,0.9677,1.025
58,0.97529,1.0313
59,0.973,1.0268
60,0.98578,1.0312
61,0.95028,1.0195
62,0.94783,1.0187
63,0.94277,1.0154
64,0.94697,1.0138
65,0.96218,1.0219
66,0.94866,1.0192
67,0.94355,1.0209
68,0.94258,1.0241
69,0.93982,1.0217
70,0.92598,1.0081
71,0.91559,1.0071
72,0.92921,1.0126
73,0.91227,1.0064
74,0.9275,1.0065
75,0.93249,1.0162
76,0.92189,1.0073
77,0.90678,0.99884
78,0.92794,1.0056
79,0.922,1.0009
80,0.91935,1.0036
81,0.92189,1.0057
82,0.92165,1.0046
83,0.89873,1.0045
84,0.89256,0.98522
85,0.89616,0.9978
86,0.89939,0.99145
87,0.90574,1.005
88,0.90278,0.99322
89,0.91294,1.0054
90,0.88984,0.99746
91,0.88925,0.99808
92,0.89259,0.98695
93,0.87696,0.98501
94,0.88673,0.9877
95,0.88245,0.99093
96,0.8929,0.99459
97,0.87137,0.98693
98,0.87694,0.98379
99,0.89469,0.99174
100,0.88239,0.98165
101,0.8837,0.9828
102,0.87488,0.98152
103,0.88628,0.99158
104,0.87621,0.98699
105,0.8675,0.97793
106,0.87192,0.984
107,0.8531,0.97257
108,0.87613,0.98873
109,0.86446,0.97721
110,0.88114,0.98821
111,0.8527,0.98275
112,0.8475,0.9645
113,0.85643,0.97602
114,0.86943,0.97865
115,0.85823,0.97636
116,0.85369,0.9773
117,0.84012,0.97203
118,0.83603,0.96172
119,0.85253,0.97508
120,0.84396,0.97558
121,0.84612,0.97348
122,0.82922,0.97226
123,0.84397,0.97012
124,0.84203,0.96586
125,0.83219,0.96545
126,0.82832,0.96437
127,0.84029,0.97345
128,0.8231,0.96559
129,0.84664,0.97578
130,0.82798,0.96227
131,0.83179,0.96195
132,0.83124,0.96646
133,0.81859,0.96346
134,0.80748,0.95976
135,0.81104,0.95837
136,0.83674,0.9774
137,0.82435,0.96162
