epoch,n_mAP,n_mAP95,s_mAP,s_mAP95,m_mAP,m_mAP95,l_mAP,l_mAP95,x_mAP,x_mAP95
1,0.0437,0.02012,0.42055,0.29304,0.52854,0.36656,0.51298,0.35211,0.52201,0.34579
2,0.45534,0.27453,0.65521,0.48302,0.69678,0.52218,0.76749,0.57774,0.80289,0.60613
3,0.73522,0.48982,0.78372,0.57903,0.8,0.60776,0.85295,0.66295,0.87277,0.68122
4,0.78623,0.55693,0.86003,0.6448,0.85188,0.64953,0.89686,0.71244,0.91052,0.72451
5,0.86345,0.62484,0.89669,0.68904,0.87228,0.67924,0.92278,0.7364,0.91229,0.7275
6,0.87575,0.64927,0.90307,0.69248,0.9108,0.72946,0.91967,0.73003,0.93603,0.745
7,0.89509,0.65573,0.9153,0.7037,0.92864,0.75203,0.93851,0.7432,0.9456,0.76229
8,0.88537,0.65599,0.91484,0.70678,0.93254,0.75418,0.94637,0.75288,0.95333,0.77591
9,0.88944,0.65671,0.92126,0.71261,0.93476,0.74862,0.92593,0.73163,0.94332,0.77315
10,0.91087,0.6789,0.94036,0.7297,0.93768,0.75593,0.9476,0.76745,0.95142,0.78062
11,0.90109,0.6931,0.93452,0.73202,0.94321,0.76924,0.94643,0.75719,0.94123,0.76975
12,0.89916,0.68368,0.93317,0.72811,0.94112,0.76674,0.95286,0.76423,0.9378,0.77086
13,0.91511,0.71378,0.93181,0.72547,0.94863,0.78185,0.95226,0.77961,0.95378,0.78782
14,0.90925,0.68996,0.93306,0.71851,0.95849,0.76832,0.94477,0.76634,0.95502,0.79792
15,0.88595,0.68497,0.94206,0.73324,0.95047,0.76993,0.95012,0.77091,0.95489,0.79662
16,0.90736,0.70111,0.94057,0.732,0.95346,0.77147,0.93901,0.75695,0.95208,0.78885
17,0.9089,0.69508,0.9529,0.74551,0.95841,0.77273,0.95404,0.78389,0.96308,0.7854
18,0.91141,0.69296,0.95483,0.75292,0.94737,0.77478,0.95436,0.78712,0.95596,0.78812
19,0.91866,0.71395,0.95777,0.75413,0.951,0.78465,0.96378,0.78663,0.96296,0.80107
20,0.91538,0.70487,0.94624,0.73999,0.95717,0.78582,0.95697,0.78856,0.96706,0.81995
21,0.91714,0.69962,0.9515,0.75494,0.95414,0.78004,0.95433,0.78308,0.96845,0.8105
22,0.93255,0.72719,0.95341,0.75604,0.96347,0.79655,0.96539,0.78699,0.9643,0.81152
23,0.93612,0.73143,0.95756,0.77033,0.95763,0.78013,0.95922,0.76862,0.95794,0.80793
24,0.93131,0.7188,0.9449,0.74309,0.95916,0.78368,0.95751,0.78602,0.97306,0.81282
25,0.93428,0.72922,0.9449,0.75239,0.95913,0.78299,0.95899,0.79388,0.96378,0.80211
26,0.94289,0.73233,0.94955,0.74725,0.95005,0.79187,0.94808,0.7862,0.9647,0.81426
27,0.9452,0.73456,0.95131,0.74988,0.9614,0.79086,0.95248,0.77762,0.96646,0.81084
28,0.93906,0.72447,0.94099,0.74871,0.96391,0.80002,0.95947,0.78001,0.96306,0.79916
29,0.92757,0.71435,0.95453,0.76347,0.96157,0.80208,0.96195,0.7889,0.96884,0.81714
30,0.93822,0.73073,0.9509,0.76124,0.97257,0.79395,0.9682,0.79137,0.9778,0.80994
31,0.94094,0.73388,0.94904,0.75733,0.96328,0.78391,0.95453,0.77388,0.97124,0.81043
32,0.94271,0.73704,0.94424,0.75619,0.95992,0.78399,0.9584,0.78411,0.9626,0.80291
33,0.93308,0.72128,0.95,0.76019,0.96657,0.79147,0.96043,0.77155,0.9627,0.81625
34,0.94288,0.73932,0.95155,0.77078,0.96292,0.79791,0.96502,0.79496,0.96053,0.80416
35,0.9431,0.72666,0.95845,0.76782,0.96686,0.78981,0.96703,0.78724,0.96828,0.81308
36,0.93888,0.72301,0.95342,0.7603,0.96122,0.79385,0.95963,0.78784,0.96944,0.82068
37,0.94621,0.72754,0.95444,0.77529,0.96699,0.80917,0.96218,0.7952,0.96379,0.81462
38,0.94394,0.72888,0.95059,0.76302,0.96347,0.79896,0.96642,0.79828,0.962,0.80465
39,0.94884,0.73588,0.94734,0.75951,0.96628,0.81058,0.95956,0.79545,0.95963,0.81236
40,0.94748,0.73736,0.955,0.75869,0.96748,0.80388,0.96014,0.78918,0.96808,0.81555
41,0.94989,0.74393,0.94369,0.75479,0.95322,0.78669,0.96327,0.79045,0.96859,0.82436
42,0.94972,0.74333,0.94467,0.75947,0.9486,0.78796,0.95687,0.79286,0.96787,0.81573
43,0.94992,0.73202,0.9649,0.77971,0.96038,0.79677,0.95611,0.80256,0.97259,0.81921
44,0.94887,0.72934,0.96053,0.78114,0.96689,0.79336,0.96668,0.80908,0.95933,0.81185
45,0.95073,0.73123,0.9575,0.77457,0.96438,0.80783,0.96434,0.80018,0.96573,0.82525
46,0.9559,0.74151,0.95849,0.78346,0.95873,0.80488,0.96237,0.8006,0.96768,0.82565
47,0.95341,0.74201,0.95137,0.76902,0.95956,0.79705,0.96784,0.79396,0.96169,0.81632
48,0.95642,0.75201,0.95748,0.77401,0.95661,0.79282,0.9676,0.8005,0.96181,0.8151
49,0.94769,0.74552,0.95653,0.7753,0.95617,0.7997,0.96271,0.79422,0.95798,0.80886
50,0.95111,0.74236,0.95014,0.7624,0.96067,0.79819,0.96687,0.78799,0.96684,0.81774
51,0.94728,0.73843,0.95709,0.77119,0.96311,0.80093,0.96083,0.79673,0.96943,0.82481
52,0.95312,0.74073,0.95533,0.77404,0.95924,0.79243,0.95605,0.79119,0.95988,0.81249
53,0.95275,0.73322,0.95112,0.77567,0.9577,0.79721,0.95783,0.7911,0.97106,0.82604
54,0.9598,0.73997,0.94577,0.76816,0.95725,0.79884,0.9606,0.81206,0.96917,0.83204
55,0.95356,0.74209,0.95634,0.77054,0.95486,0.8066,0.96717,0.81001,0.96511,0.82804
56,0.96148,0.74425,0.95543,0.76851,0.95691,0.80434,0.96028,0.81262,0.96459,0.82724
57,0.94708,0.73821,0.95732,0.76851,0.9624,0.80425,0.96267,0.81278,0.96284,0.82409
58,0.94983,0.72363,0.94379,0.76269,0.96439,0.80963,0.95172,0.79523,0.96803,0.82126
59,0.95179,0.74401,0.95018,0.77127,0.9588,0.81037,0.95725,0.81246,0.96637,0.82413
60,0.95317,0.74037,0.95843,0.77642,0.96022,0.80141,0.9661,0.81334,0.96446,0.82023
61,0.9471,0.73993,0.95133,0.77153,0.95898,0.82001,0.96243,0.81596,0.96561,0.83617
62,0.95675,0.74187,0.9548,0.77839,0.95935,0.81884,0.96382,0.82787,0.96395,0.83312
63,0.95258,0.74054,0.9447,0.77182,0.96042,0.81896,0.95731,0.81026,0.97319,0.83069
64,0.9522,0.74567,0.94114,0.75957,0.96584,0.81235,0.95561,0.80889,0.96789,0.81887
65,0.9605,0.75107,0.94542,0.77034,0.96656,0.81799,0.9503,0.81401,0.96462,0.81617
66,0.96407,0.74419,0.95655,0.78267,0.96438,0.81927,0.95145,0.81312,0.96443,0.82662
67,0.94498,0.73526,0.95186,0.77582,0.95671,0.81238,0.95966,0.81855,0.96618,0.82983
68,0.95996,0.74759,0.94825,0.77399,0.94579,0.80083,0.96343,0.82049,0.96025,0.83193
69,0.96242,0.75569,0.94468,0.76416,0.95756,0.80604,0.96633,0.81006,0.96932,0.83856
70,0.94774,0.73233,0.9339,0.75573,0.95998,0.81173,0.95051,0.80427,0.97344,0.84768
71,0.95108,0.73781,0.93874,0.7659,0.95341,0.80972,0.96257,0.815,0.96739,0.84011
72,0.96054,0.75484,0.9451,0.76043,0.96034,0.81339,0.9706,0.82233,0.95933,0.83404
73,0.9611,0.74527,0.94846,0.77624,0.95496,0.81355,0.96572,0.82141,0.96102,0.83884
74,0.95277,0.74516,0.94183,0.76823,0.96743,0.8191,0.96308,0.82224,0.96405,0.83997
75,0.95503,0.74374,0.94434,0.78108,0.96944,0.81591,0.9588,0.81714,0.96814,0.83977
76,0.94902,0.74488,0.94766,0.77669,0.96518,0.82427,0.96627,0.81896,0.96683,0.84093
77,0.95018,0.73501,0.94686,0.77447,0.96491,0.82196,0.96299,0.82611,0.97276,0.85079
78,0.95569,0.74554,0.95213,0.7749,0.95889,0.81093,0.96715,0.81707,0.96879,0.83794
79,0.95066,0.73908,0.95291,0.78095,0.96271,0.81112,0.95824,0.81019,0.97649,0.84209
80,0.95405,0.7474,0.94701,0.7724,0.96629,0.82667,0.96092,0.8243,0.96765,0.83623
81,0.96054,0.75517,0.95437,0.77286,0.95988,0.8161,0.96372,0.8249,0.97003,0.83978
82,0.96475,0.75558,0.95038,0.77409,0.96601,0.82215,0.95962,0.82072,0.96277,0.83695
83,0.95922,0.74748,0.9629,0.78803,0.96716,0.82343,0.95928,0.8183,0.96921,0.84445
84,0.9559,0.74392,0.95546,0.76863,0.96227,0.81453,0.95955,0.81803,0.96723,0.84919
85,0.95926,0.75466,0.95807,0.7681,0.96269,0.80666,0.96078,0.80395,0.9711,0.84342
86,0.96114,0.74308,0.94756,0.76739,0.96286,0.8173,0.95528,0.82307,0.96663,0.84042
87,0.95037,0.73275,0.9472,0.76135,0.95825,0.81446,0.95622,0.8223,0.9687,0.83904
