epoch,n_mAP,n_mAP95
1,0.4588,0.29628
2,0.59849,0.45154
3,0.82273,0.60891
4,0.84915,0.65403
5,0.83541,0.62755
6,0.84375,0.65115
7,0.85156,0.63985
8,0.85033,0.64574
9,0.90787,0.68502
10,0.92076,0.71004
11,0.91115,0.70421
12,0.89023,0.68688
13,0.85152,0.65764
14,0.92453,0.72298
15,0.89419,0.69173
16,0.92351,0.72706
17,0.92076,0.72001
18,0.93233,0.74287
19,0.87868,0.69744
20,0.9119,0.72544
21,0.87795,0.69692
22,0.92114,0.73667
23,0.92155,0.73002
24,0.93769,0.73687
25,0.92636,0.73028
26,0.88421,0.68867
27,0.93722,0.73822
28,0.91612,0.71485
29,0.85731,0.6673
30,0.90662,0.70976
31,0.94761,0.73303
32,0.94404,0.73216
33,0.91561,0.71846
34,0.8752,0.69344
35,0.88965,0.69832
36,0.90632,0.70819
37,0.90653,0.70923
38,0.91713,0.71936
39,0.91315,0.72585
40,0.914,0.71845
41,0.92494,0.72566
42,0.9142,0.7212
43,0.91293,0.7272
44,0.89441,0.70473
45,0.91811,0.73413
46,0.92923,0.73165
47,0.91695,0.72448
48,0.9005,0.71448
49,0.90472,0.71906
50,0.91957,0.72942
51,0.90879,0.72131
52,0.92626,0.74079
53,0.93385,0.7323
54,0.92151,0.72984
55,0.91092,0.72744
56,0.9068,0.73061
57,0.91471,0.71385
58,0.92315,0.73089
59,0.89832,0.70163
60,0.91061,0.72831
61,0.91841,0.72319
62,0.91079,0.72079
63,0.90402,0.71157
64,0.92319,0.74248
65,0.90848,0.72445
66,0.90976,0.71753
67,0.90439,0.72089
68,0.92128,0.73932
69,0.91347,0.73317
70,0.92454,0.72819
71,0.8786,0.68753
72,0.89501,0.69963
73,0.88911,0.68812
74,0.9067,0.70843
75,0.90926,0.71706
76,0.88219,0.70591
77,0.91079,0.72929
78,0.88687,0.71118
79,0.88074,0.70056
80,0.90333,0.73172
81,0.92158,0.74517
82,0.90736,0.73521
83,0.91746,0.73539
84,0.91217,0.72852
85,0.89288,0.70836
86,0.91098,0.71264
87,0.93493,0.74043
88,0.87238,0.69376
89,0.90015,0.70659
90,0.89888,0.71225
91,0.90367,0.72123
92,0.92203,0.7172
93,0.88805,0.70111
94,0.89504,0.71132
95,0.90707,0.71852
96,0.90586,0.72528
97,0.90705,0.72378
98,0.87837,0.69757
99,0.90993,0.71786
100,0.90158,0.7111
101,0.89598,0.71611
102,0.90322,0.71989
103,0.90965,0.73246
104,0.936,0.74984
105,0.94022,0.75248
106,0.90805,0.72583
107,0.91493,0.72882
108,0.92863,0.73151
109,0.91134,0.71413
110,0.92116,0.73686
111,0.92536,0.74492
112,0.90968,0.71544
113,0.92248,0.73089
114,0.90752,0.72074
115,0.91444,0.72407
116,0.9087,0.72709
117,0.88495,0.70433
118,0.89734,0.71056
119,0.91599,0.72428
120,0.89588,0.70217
121,0.92086,0.72934
122,0.89825,0.72121
123,0.89692,0.71452
124,0.90214,0.70169
125,0.91066,0.72624
126,0.89519,0.71606
127,0.88632,0.70912
128,0.8818,0.68151
129,0.89225,0.71258
130,0.88131,0.70211
131,0.90503,0.7254
132,0.88302,0.70975
133,0.88761,0.69362
134,0.89669,0.71427
135,0.90083,0.71351
136,0.88813,0.69483
137,0.8909,0.70771
138,0.90945,0.72601
139,0.91864,0.73194
140,0.90253,0.71487
141,0.91047,0.71889
142,0.90927,0.71149
143,0.92195,0.73165
144,0.92706,0.74434
145,0.91811,0.74046
146,0.92783,0.74022
147,0.91513,0.72788
148,0.90318,0.72741
149,0.88884,0.71539
150,0.88379,0.70486
151,0.90313,0.71636
152,0.91463,0.7336
153,0.89388,0.71604
154,0.90356,0.72115
155,0.90611,0.74349
156,0.89905,0.71339
157,0.91868,0.73872
158,0.91434,0.73147
159,0.90568,0.72053
160,0.8945,0.72126
161,0.89132,0.70679
162,0.90307,0.70854
163,0.8974,0.71339
164,0.88645,0.71036
165,0.889,0.71351
166,0.89203,0.7197
167,0.90062,0.71901
168,0.89696,0.71474
169,0.89758,0.71425
170,0.90078,0.71278
171,0.87678,0.6967
172,0.88462,0.7059
173,0.89913,0.71608
174,0.90297,0.72609
175,0.91072,0.73368
176,0.9039,0.73129
177,0.90338,0.71704
178,0.88642,0.69935
179,0.91496,0.73136
180,0.90348,0.71605
181,0.89826,0.71968
182,0.92476,0.74325
183,0.91816,0.72832
184,0.90736,0.72177
185,0.90124,0.7215
186,0.87967,0.70273
187,0.91463,0.72507
188,0.91599,0.71968
189,0.89162,0.6971
190,0.903,0.70896
191,0.91099,0.71535
192,0.88388,0.7014
193,0.89638,0.71432
194,0.89554,0.70065
195,0.89175,0.70719
196,0.89719,0.72036
197,0.8916,0.71057
198,0.88658,0.70672
199,0.89876,0.71704
200,0.90669,0.71909
201,0.91126,0.71733
202,0.89121,0.71185
203,0.90335,0.72237
204,0.86076,0.70554
205,0.88375,0.72019
